Id,Area,Type,Bedrooms,Floors,Parking,YearBuilt,Range,Location,Condition,Garage, Price 
I0056,3961,4 BHK,4,1,No,1949,1941-1960,Urban,Poor,Yes," $8,26,522.00 "
I0057,3113,4 BHK,4,2,No,1979,1961-1980,Suburban,Excellent,No," $9,13,498.00 "
I0058,4343,4 BHK,4,2,No,1940,1921-1940,Downtown,Excellent,No," $8,40,023.00 "
I0059,2000,3 BHK,3,3,Yes,1917,1900-1920,Suburban,Fair,Yes," $1,43,878.00 "
I0060,661,1 BHK,1,2,No,1921,1921-1940,Downtown,Excellent,No," $1,75,407.00 "
I0061,4797,4 BHK,4,2,No,1965,1961-1980,Suburban,Good,Yes," $6,91,157.00 "
I0062,2481,3 BHK,3,2,No,1920,1900-1920,Suburban,Poor,Yes," $3,07,716.00 "
I0063,1495,2 BHK,2,3,Yes,1999,1981-2000,Rural,Good,Yes," $8,57,827.00 "
I0064,3842,4 BHK,4,1,No,1943,1941-1960,Rural,Fair,Yes," $66,738.00 "
I0065,4298,4 BHK,4,2,No,2002,2001-2020,Downtown,Fair,Yes," $1,83,703.00 "
I0066,1775,3 BHK,3,3,Yes,1946,1941-1960,Urban,Excellent,No," $7,23,265.00 "
I0067,1516,2 BHK,2,3,Yes,1938,1921-1940,Rural,Excellent,Yes," $5,93,344.00 "
I0068,837,2 BHK,2,3,Yes,1928,1921-1940,Suburban,Fair,Yes," $8,15,034.00 "
I0069,1378,2 BHK,2,1,No,1953,1941-1960,Rural,Fair,Yes," $5,60,241.00 "
I0070,1576,2 BHK,2,2,No,1989,1981-2000,Rural,Good,Yes," $4,33,800.00 "
I0071,4493,4 BHK,4,3,Yes,1984,1981-2000,Downtown,Good,Yes," $6,89,604.00 "
I0072,879,2 BHK,2,1,No,1916,1900-1920,Rural,Excellent,Yes," $7,40,807.00 "
I0073,992,2 BHK,2,3,Yes,1979,1961-1980,Rural,Good,Yes," $6,28,706.00 "
I0074,2562,4 BHK,4,3,Yes,1959,1941-1960,Suburban,Excellent,No," $8,73,622.00 "
I0075,4384,4 BHK,4,3,Yes,1930,1921-1940,Rural,Excellent,No," $76,014.00 "
I0076,564,1 BHK,1,3,Yes,2014,2001-2020,Suburban,Poor,No," $7,78,359.00 "
I0077,3068,4 BHK,4,3,Yes,1972,1961-1980,Rural,Excellent,No," $8,13,277.00 "
I0078,2527,4 BHK,4,1,No,1994,1981-2000,Rural,Good,Yes," $2,31,350.00 "
I0079,3195,4 BHK,4,2,No,1977,1961-1980,Urban,Fair,No," $9,61,995.00 "
I0080,1995,3 BHK,3,2,No,1948,1941-1960,Rural,Fair,Yes," $8,38,212.00 "
I0081,891,2 BHK,2,2,No,2000,1981-2000,Suburban,Good,No," $5,34,859.00 "
I0082,4974,4 BHK,4,2,No,1901,1900-1920,Suburban,Fair,No," $7,64,618.00 "
I0083,4061,4 BHK,4,1,No,2015,2001-2020,Downtown,Excellent,Yes," $5,40,339.00 "
I0084,2778,4 BHK,4,1,No,1947,1941-1960,Downtown,Fair,Yes," $92,192.00 "
I0085,3599,4 BHK,4,1,No,2009,2001-2020,Urban,Good,No," $9,41,307.00 "
I0086,700,1 BHK,1,3,Yes,1913,1900-1920,Suburban,Fair,No," $4,11,273.00 "
I0087,3604,4 BHK,4,3,Yes,1958,1941-1960,Suburban,Excellent,No," $93,923.00 "
I0088,2954,4 BHK,4,3,Yes,1996,1981-2000,Suburban,Excellent,No," $6,63,484.00 "
I0089,4145,4 BHK,4,2,No,1998,1981-2000,Urban,Good,Yes," $5,76,683.00 "
I0090,1304,2 BHK,2,3,Yes,1957,1941-1960,Suburban,Good,No," $4,14,593.00 "
I0091,3231,4 BHK,4,2,No,2002,2001-2020,Downtown,Good,No," $4,33,891.00 "
I0092,3273,4 BHK,4,3,Yes,1957,1941-1960,Urban,Poor,No," $8,02,744.00 "
I0093,2070,3 BHK,3,2,No,2010,2001-2020,Downtown,Poor,No," $4,58,995.00 "
I0094,3190,4 BHK,4,3,Yes,1950,1941-1960,Downtown,Excellent,No," $6,45,316.00 "
I0095,4340,4 BHK,4,3,Yes,1983,1981-2000,Urban,Poor,Yes," $9,97,226.00 "
I0096,1528,2 BHK,2,1,No,1901,1900-1920,Rural,Poor,Yes," $4,50,327.00 "
I0097,1002,2 BHK,2,3,Yes,2014,2001-2020,Rural,Fair,Yes," $8,16,751.00 "
I0098,4993,4 BHK,4,3,Yes,1940,1921-1940,Downtown,Poor,Yes," $7,15,344.00 "
I0099,1370,2 BHK,2,1,No,1982,1981-2000,Rural,Fair,Yes," $9,29,608.00 "
I0100,4988,4 BHK,4,2,No,2022,2021-2040,Suburban,Good,No," $7,77,688.00 "
I0101,706,1 BHK,1,1,No,2000,1981-2000,Urban,Fair,Yes," $3,05,315.00 "
I0102,1984,3 BHK,3,1,No,1981,1981-2000,Downtown,Fair,Yes," $3,39,068.00 "
I0103,1363,2 BHK,2,2,No,1915,1900-1920,Suburban,Good,No," $4,95,919.00 "
I0104,3290,4 BHK,4,3,Yes,1903,1900-1920,Rural,Good,Yes," $3,44,721.00 "
I0105,1063,2 BHK,2,2,No,1911,1900-1920,Suburban,Excellent,Yes," $1,88,783.00 "
I0106,4691,4 BHK,4,3,Yes,1928,1921-1940,Rural,Excellent,Yes," $6,59,836.00 "
I0107,2257,3 BHK,3,3,Yes,1906,1900-1920,Downtown,Excellent,Yes," $3,07,288.00 "
I0108,2178,3 BHK,3,2,No,1913,1900-1920,Suburban,Excellent,No," $5,43,085.00 "
I0109,3742,4 BHK,4,1,No,2018,2001-2020,Urban,Fair,No," $5,45,187.00 "
I0110,1559,2 BHK,2,2,No,1911,1900-1920,Downtown,Fair,Yes," $6,99,381.00 "
I0111,2222,3 BHK,3,3,Yes,1998,1981-2000,Suburban,Excellent,No," $2,85,835.00 "
I0112,3814,4 BHK,4,2,No,1904,1900-1920,Suburban,Poor,Yes," $9,71,600.00 "
I0113,3657,4 BHK,4,2,No,1980,1961-1980,Rural,Excellent,No," $9,02,987.00 "
I0114,3125,4 BHK,4,3,Yes,2021,2021-2040,Downtown,Poor,No," $4,01,992.00 "
I0115,3229,4 BHK,4,1,No,2005,2001-2020,Downtown,Good,No," $2,56,084.00 "
I0116,2097,3 BHK,3,2,No,1931,1921-1940,Downtown,Fair,No," $8,44,686.00 "
I0117,3560,4 BHK,4,3,Yes,1973,1961-1980,Downtown,Fair,No," $4,37,554.00 "
I0118,3193,4 BHK,4,3,Yes,1942,1941-1960,Rural,Poor,No," $8,03,315.00 "
I0119,4127,4 BHK,4,2,No,1980,1961-1980,Urban,Excellent,No," $5,20,336.00 "
I0120,1863,3 BHK,3,1,No,1968,1961-1980,Downtown,Fair,No," $9,73,469.00 "
I0121,2481,3 BHK,3,2,No,1944,1941-1960,Rural,Poor,No," $2,58,072.00 "
I0122,2163,3 BHK,3,1,No,2005,2001-2020,Urban,Good,No," $2,98,029.00 "
I0123,2029,3 BHK,3,1,No,1908,1900-1920,Urban,Good,No," $2,59,047.00 "
I0124,2538,4 BHK,4,1,No,1948,1941-1960,Rural,Fair,Yes," $4,15,169.00 "
I0125,3802,4 BHK,4,1,No,1932,1921-1940,Downtown,Excellent,No," $1,80,509.00 "
I0126,2737,4 BHK,4,2,No,1999,1981-2000,Urban,Poor,Yes," $8,12,072.00 "
I0127,1806,3 BHK,3,3,Yes,1999,1981-2000,Downtown,Fair,No," $3,45,107.00 "
I0128,4529,4 BHK,4,3,Yes,1917,1900-1920,Downtown,Good,Yes," $5,77,561.00 "
I0129,3175,4 BHK,4,3,Yes,1908,1900-1920,Suburban,Excellent,Yes," $5,89,618.00 "
I0130,1782,3 BHK,3,3,Yes,1961,1961-1980,Downtown,Poor,Yes," $2,02,566.00 "
I0131,1209,2 BHK,2,3,Yes,1956,1941-1960,Suburban,Fair,No," $6,50,710.00 "
I0132,4913,4 BHK,4,3,Yes,1928,1921-1940,Urban,Poor,No," $9,58,521.00 "
I0133,4248,4 BHK,4,2,No,2013,2001-2020,Rural,Excellent,No," $53,212.00 "
I0134,1163,2 BHK,2,1,No,1977,1961-1980,Suburban,Excellent,No," $2,82,131.00 "
I0135,2498,3 BHK,3,3,Yes,1924,1921-1940,Rural,Good,Yes," $5,26,657.00 "
I0136,3945,4 BHK,4,2,No,1914,1900-1920,Urban,Excellent,No," $6,61,882.00 "
I0137,4243,4 BHK,4,3,Yes,1905,1900-1920,Downtown,Fair,No," $1,82,152.00 "
I0138,1995,3 BHK,3,3,Yes,2019,2001-2020,Urban,Poor,No," $3,44,819.00 "
I0139,3804,4 BHK,4,1,No,1941,1941-1960,Rural,Excellent,No," $72,007.00 "
I0140,4263,4 BHK,4,1,No,1928,1921-1940,Urban,Excellent,No," $6,88,093.00 "
I0141,2353,3 BHK,3,1,No,1978,1961-1980,Downtown,Fair,No," $3,94,785.00 "
I0142,1791,3 BHK,3,3,Yes,1992,1981-2000,Urban,Poor,No," $6,70,103.00 "
I0143,4081,4 BHK,4,3,Yes,1903,1900-1920,Downtown,Poor,No," $8,83,247.00 "
I0144,3957,4 BHK,4,3,Yes,1981,1981-2000,Suburban,Good,Yes," $9,19,914.00 "
I0145,2136,3 BHK,3,1,No,2013,2001-2020,Rural,Good,Yes," $8,37,071.00 "
I0146,4196,4 BHK,4,2,No,1956,1941-1960,Downtown,Poor,No," $3,75,737.00 "
I0147,3499,4 BHK,4,3,Yes,1948,1941-1960,Downtown,Fair,No," $5,62,164.00 "
I0148,3652,4 BHK,4,3,Yes,1943,1941-1960,Urban,Fair,No," $1,28,038.00 "
I0149,1198,2 BHK,2,3,Yes,2002,2001-2020,Suburban,Good,No," $4,06,043.00 "
I0150,2660,4 BHK,4,2,No,1979,1961-1980,Downtown,Excellent,Yes," $8,40,168.00 "
I0151,4597,4 BHK,4,3,Yes,1974,1961-1980,Suburban,Fair,Yes," $8,27,794.00 "
I0152,1354,2 BHK,2,2,No,1913,1900-1920,Suburban,Excellent,No," $66,473.00 "
I0153,3974,4 BHK,4,3,Yes,1902,1900-1920,Urban,Fair,Yes," $7,03,059.00 "
I0154,2207,3 BHK,3,2,No,2014,2001-2020,Downtown,Poor,Yes," $1,75,801.00 "
I0155,3277,4 BHK,4,3,Yes,2013,2001-2020,Urban,Good,No," $9,44,030.00 "
I0156,2233,3 BHK,3,1,No,1961,1961-1980,Rural,Excellent,No," $6,60,911.00 "
I0157,4010,4 BHK,4,1,No,2005,2001-2020,Rural,Excellent,No," $5,58,252.00 "
I0158,702,1 BHK,1,1,No,1963,1961-1980,Downtown,Poor,Yes," $2,75,097.00 "
I0159,3755,4 BHK,4,1,No,2001,2001-2020,Suburban,Fair,Yes," $3,48,964.00 "
I0160,4718,4 BHK,4,3,Yes,1944,1941-1960,Downtown,Excellent,No," $2,65,933.00 "
I0161,4996,4 BHK,4,1,No,2005,2001-2020,Downtown,Fair,No," $3,69,733.00 "
I0162,1266,2 BHK,2,2,No,1981,1981-2000,Rural,Poor,Yes," $7,71,167.00 "
I0163,4889,4 BHK,4,1,No,1957,1941-1960,Rural,Good,Yes," $3,30,558.00 "
I0164,2827,4 BHK,4,1,No,1919,1900-1920,Suburban,Excellent,No," $4,39,522.00 "
I0165,3431,4 BHK,4,1,No,1957,1941-1960,Suburban,Fair,Yes," $74,220.00 "
I0166,697,1 BHK,1,3,Yes,2011,2001-2020,Downtown,Excellent,No," $6,34,819.00 "
I0167,2430,3 BHK,3,1,No,1988,1981-2000,Urban,Fair,No," $4,22,146.00 "
I0168,4082,4 BHK,4,2,No,1956,1941-1960,Downtown,Fair,Yes," $5,57,409.00 "
I0169,1108,2 BHK,2,1,No,2001,2001-2020,Suburban,Fair,Yes," $7,47,785.00 "
I0170,3772,4 BHK,4,1,No,1976,1961-1980,Urban,Poor,Yes," $59,387.00 "
I0171,1647,3 BHK,3,1,No,1967,1961-1980,Rural,Good,No," $2,95,752.00 "
I0172,4782,4 BHK,4,2,No,2018,2001-2020,Suburban,Excellent,No," $6,51,103.00 "
I0173,3897,4 BHK,4,1,No,1977,1961-1980,Suburban,Good,No," $6,01,872.00 "
I0174,3011,4 BHK,4,2,No,1996,1981-2000,Urban,Fair,No," $6,19,071.00 "
I0175,2294,3 BHK,3,2,No,1991,1981-2000,Suburban,Fair,No," $7,45,169.00 "
I0176,1159,2 BHK,2,1,No,1951,1941-1960,Suburban,Good,No," $7,59,687.00 "
I0177,3311,4 BHK,4,2,No,1936,1921-1940,Suburban,Good,Yes," $6,98,782.00 "
I0178,1869,3 BHK,3,3,Yes,1907,1900-1920,Suburban,Excellent,No," $6,90,102.00 "
I0179,2486,3 BHK,3,1,No,1943,1941-1960,Suburban,Fair,No," $3,00,139.00 "
I0180,646,1 BHK,1,1,No,1997,1981-2000,Suburban,Good,No," $9,67,184.00 "
I0181,3719,4 BHK,4,2,No,2007,2001-2020,Suburban,Poor,No," $5,50,228.00 "
I0182,3411,4 BHK,4,2,No,1904,1900-1920,Suburban,Fair,Yes," $7,16,217.00 "
I0183,2234,3 BHK,3,1,No,2017,2001-2020,Rural,Fair,No," $7,47,621.00 "
I0184,2343,3 BHK,3,3,Yes,1968,1961-1980,Suburban,Excellent,Yes," $9,10,020.00 "
I0185,988,2 BHK,2,2,No,1930,1921-1940,Rural,Poor,Yes," $9,84,499.00 "
I0186,3476,4 BHK,4,2,No,1944,1941-1960,Rural,Excellent,No," $2,96,509.00 "
I0187,2459,3 BHK,3,3,Yes,1908,1900-1920,Downtown,Poor,No," $63,580.00 "
I0188,2885,4 BHK,4,3,Yes,2005,2001-2020,Downtown,Excellent,Yes," $5,92,528.00 "
I0189,3419,4 BHK,4,1,No,1931,1921-1940,Rural,Poor,Yes," $8,28,639.00 "
I0190,2302,3 BHK,3,3,Yes,1932,1921-1940,Rural,Poor,No," $3,95,590.00 "
I0191,4561,4 BHK,4,1,No,1966,1961-1980,Suburban,Poor,Yes," $5,18,968.00 "
I0192,3869,4 BHK,4,3,Yes,1929,1921-1940,Downtown,Good,No," $9,40,965.00 "
I0193,762,1 BHK,1,2,No,2013,2001-2020,Urban,Fair,No," $8,28,559.00 "
I0194,1123,2 BHK,2,1,No,1975,1961-1980,Downtown,Poor,Yes," $5,33,663.00 "
I0195,1516,2 BHK,2,1,No,1928,1921-1940,Rural,Good,No," $4,78,082.00 "
I0196,4143,4 BHK,4,1,No,1902,1900-1920,Rural,Good,No," $6,55,262.00 "
I0197,2549,4 BHK,4,3,Yes,1989,1981-2000,Suburban,Excellent,No," $6,47,689.00 "
I0198,4223,4 BHK,4,2,No,1956,1941-1960,Suburban,Fair,Yes," $2,63,165.00 "
I0199,3608,4 BHK,4,1,No,1929,1921-1940,Downtown,Fair,Yes," $4,55,427.00 "
I0200,4590,4 BHK,4,1,No,1908,1900-1920,Suburban,Excellent,Yes," $5,02,201.00 "
I0201,2556,4 BHK,4,1,No,1925,1921-1940,Urban,Fair,No," $2,14,340.00 "
I0202,3670,4 BHK,4,1,No,1901,1900-1920,Urban,Excellent,Yes," $8,40,078.00 "
I0203,2182,3 BHK,3,2,No,1961,1961-1980,Suburban,Good,Yes," $7,60,731.00 "
I0204,2755,4 BHK,4,3,Yes,1902,1900-1920,Urban,Good,Yes," $8,22,411.00 "
I0205,1654,3 BHK,3,2,No,1945,1941-1960,Urban,Poor,No," $3,54,960.00 "
I0206,4999,4 BHK,4,1,No,1967,1961-1980,Downtown,Excellent,No," $1,39,460.00 "
I0207,3691,4 BHK,4,2,No,1924,1921-1940,Urban,Good,Yes," $3,56,256.00 "
I0208,2196,3 BHK,3,1,No,1950,1941-1960,Rural,Good,Yes," $1,01,048.00 "
I0209,4491,4 BHK,4,3,Yes,1912,1900-1920,Rural,Excellent,Yes," $7,80,806.00 "
I0210,2148,3 BHK,3,3,Yes,2002,2001-2020,Downtown,Good,No," $1,82,850.00 "
I0211,1945,3 BHK,3,3,Yes,1943,1941-1960,Suburban,Fair,Yes," $8,82,184.00 "
I0212,4699,4 BHK,4,1,No,1934,1921-1940,Downtown,Good,No," $5,28,193.00 "
I0213,4423,4 BHK,4,2,No,1954,1941-1960,Suburban,Excellent,No," $9,07,158.00 "
I0214,753,1 BHK,1,3,Yes,1986,1981-2000,Suburban,Fair,No," $7,86,200.00 "
I0215,3683,4 BHK,4,1,No,1908,1900-1920,Suburban,Fair,Yes," $9,94,793.00 "
I0216,3057,4 BHK,4,1,No,1901,1900-1920,Suburban,Good,Yes," $3,56,932.00 "
I0217,598,1 BHK,1,2,No,1960,1941-1960,Suburban,Poor,No," $3,16,891.00 "
I0218,2700,4 BHK,4,3,Yes,2017,2001-2020,Downtown,Fair,No," $5,74,333.00 "
I0219,3461,4 BHK,4,1,No,1940,1921-1940,Suburban,Excellent,No," $5,82,046.00 "
I0220,4933,4 BHK,4,2,No,1943,1941-1960,Urban,Poor,No," $8,29,685.00 "
I0221,4277,4 BHK,4,3,Yes,1963,1961-1980,Urban,Poor,Yes," $9,61,508.00 "
I0222,3369,4 BHK,4,2,No,1930,1921-1940,Suburban,Fair,Yes," $7,28,797.00 "
I0223,3734,4 BHK,4,2,No,2007,2001-2020,Urban,Good,No," $7,24,945.00 "
I0224,4291,4 BHK,4,1,No,1946,1941-1960,Rural,Poor,No," $1,90,926.00 "
I0225,1456,2 BHK,2,1,No,1901,1900-1920,Downtown,Good,No," $2,33,148.00 "
I0226,4567,4 BHK,4,1,No,1995,1981-2000,Downtown,Fair,Yes," $8,93,382.00 "
I0227,660,1 BHK,1,2,No,1981,1981-2000,Suburban,Excellent,No," $7,22,709.00 "
I0228,4993,4 BHK,4,1,No,1976,1961-1980,Suburban,Poor,Yes," $8,01,588.00 "
I0229,1800,3 BHK,3,2,No,2009,2001-2020,Rural,Excellent,No," $7,26,708.00 "
I0230,4487,4 BHK,4,2,No,1968,1961-1980,Suburban,Good,Yes," $2,15,368.00 "
I0231,2027,3 BHK,3,1,No,1957,1941-1960,Urban,Good,Yes," $5,44,496.00 "
I0232,1718,3 BHK,3,3,Yes,2005,2001-2020,Rural,Excellent,No," $69,455.00 "
I0233,4996,4 BHK,4,3,Yes,1943,1941-1960,Urban,Fair,Yes," $7,84,184.00 "
I0234,3604,4 BHK,4,3,Yes,1973,1961-1980,Downtown,Fair,Yes," $5,15,139.00 "
I0235,3235,4 BHK,4,2,No,1955,1941-1960,Urban,Poor,Yes," $2,81,897.00 "
I0236,1454,2 BHK,2,2,No,1942,1941-1960,Downtown,Poor,Yes," $4,82,509.00 "
I0237,3946,4 BHK,4,2,No,1988,1981-2000,Urban,Fair,No," $5,42,646.00 "
I0238,1545,2 BHK,2,1,No,1933,1921-1940,Downtown,Fair,No," $6,62,840.00 "
I0239,2193,3 BHK,3,2,No,2000,1981-2000,Suburban,Excellent,No," $8,82,548.00 "
I0240,3936,4 BHK,4,1,No,1929,1921-1940,Urban,Good,No," $4,32,605.00 "
I0241,1062,2 BHK,2,1,No,1970,1961-1980,Downtown,Good,No," $6,14,772.00 "
I0242,2985,4 BHK,4,3,Yes,1969,1961-1980,Urban,Poor,Yes," $9,97,719.00 "
I0243,3854,4 BHK,4,3,Yes,2017,2001-2020,Rural,Fair,Yes," $3,93,782.00 "
I0244,725,1 BHK,1,3,Yes,1954,1941-1960,Suburban,Excellent,Yes," $7,08,764.00 "
I0245,1459,2 BHK,2,1,No,1966,1961-1980,Downtown,Poor,Yes," $2,18,332.00 "
I0246,3567,4 BHK,4,1,No,1912,1900-1920,Rural,Excellent,No," $1,50,647.00 "
I0247,1315,2 BHK,2,1,No,1902,1900-1920,Urban,Fair,No," $6,39,930.00 "
I0248,3620,4 BHK,4,2,No,1925,1921-1940,Rural,Fair,Yes," $7,86,091.00 "
I0249,516,1 BHK,1,1,No,1956,1941-1960,Urban,Fair,No," $8,82,441.00 "
I0250,1743,3 BHK,3,3,Yes,1923,1921-1940,Suburban,Good,Yes," $1,78,824.00 "
I0251,2705,4 BHK,4,3,Yes,1952,1941-1960,Rural,Fair,Yes," $8,23,202.00 "
I0252,3024,4 BHK,4,1,No,1969,1961-1980,Suburban,Poor,No," $8,66,037.00 "
I0253,1569,2 BHK,2,1,No,1942,1941-1960,Downtown,Good,No," $6,85,167.00 "
I0254,3944,4 BHK,4,3,Yes,1959,1941-1960,Urban,Excellent,No," $6,95,115.00 "
I0255,3065,4 BHK,4,1,No,1957,1941-1960,Urban,Poor,No," $3,17,724.00 "
I0256,1560,2 BHK,2,3,Yes,1948,1941-1960,Suburban,Poor,No," $9,51,334.00 "
I0257,2827,4 BHK,4,2,No,1941,1941-1960,Suburban,Excellent,No," $3,17,544.00 "
I0258,3920,4 BHK,4,3,Yes,1975,1961-1980,Downtown,Good,No," $7,45,003.00 "
I0259,801,2 BHK,2,2,No,2012,2001-2020,Rural,Poor,Yes," $8,01,545.00 "
I0260,4776,4 BHK,4,1,No,1999,1981-2000,Urban,Poor,No," $9,32,464.00 "
I0261,1106,2 BHK,2,1,No,1965,1961-1980,Urban,Poor,Yes," $1,77,319.00 "
I0262,3670,4 BHK,4,2,No,1910,1900-1920,Downtown,Good,Yes," $5,62,193.00 "
I0263,1199,2 BHK,2,1,No,2002,2001-2020,Downtown,Good,No," $5,29,389.00 "
I0264,1639,3 BHK,3,2,No,1997,1981-2000,Suburban,Good,Yes," $1,56,960.00 "
I0265,690,1 BHK,1,1,No,1989,1981-2000,Suburban,Poor,No," $89,015.00 "
I0266,2800,4 BHK,4,3,Yes,1917,1900-1920,Rural,Fair,Yes," $3,83,857.00 "
I0267,1480,2 BHK,2,1,No,1984,1981-2000,Downtown,Excellent,Yes," $7,78,165.00 "
I0268,3475,4 BHK,4,3,Yes,1999,1981-2000,Rural,Fair,Yes," $9,82,478.00 "
I0269,1684,3 BHK,3,3,Yes,2003,2001-2020,Downtown,Good,No," $1,95,109.00 "
I0270,3827,4 BHK,4,2,No,1951,1941-1960,Urban,Poor,Yes," $5,27,508.00 "
I0271,3894,4 BHK,4,1,No,1945,1941-1960,Downtown,Poor,Yes," $8,36,351.00 "
I0272,627,1 BHK,1,2,No,1943,1941-1960,Downtown,Fair,Yes," $9,83,671.00 "
